N_LINHA,N_CATEGORIA,N_PRODUTO,QTD_ITEM,V_VENDA,V_CUSTO_VENDA,V_PERC_MARGEM_T,CLASSIFICACAO
1,1,1,200.0,1798.0,2.3,0.6547,CB
1,2,2,721.0,3321.49,60.0,0.4912,EB
1,1,3,7000.0,1820.0,2.3,0.3385,EB
1,2,3,19.0,540.0,2.3,0.8625,DB
1,2,4,31.0,670.0,2.3,0.879,DB
1,2,6,141.0,3146.43,60.0,0.7043,BB
1,1,1,1500.0,5250.0,60.0,0.0967,FB
2,2,5,106.0,1973.6,2.3,0.6866,CB
1,1,1,168.0,831.6,2.3,0.5685,DB
5,6,29,176.0,2790.4,60.0,0.6309,BA
1,1,1,16.0,1888.0,2.3,0.6736,CB
1,1,3,58.0,1668.8,2.3,0.6835,CB
1,1,3,500.0,4381.0,60.0,0.5647,BB
2,1,4,79.0,1519.08,2.3,0.6873,CB
2,2,4,504.0,2733.48,60.0,0.5796,BB
1,1,1,2400.0,4560.0,60.0,0.5302,BB
1,1,1,72.0,503.28,2.3,0.7901,DB
2,2,20,119.0,1918.05,2.3,0.4126,EB
2,2,5,80.0,1911.12,2.3,0.643,CB
1,1,1,2016.0,5846.4,60.0,0.5121,AB
1,1,2,3024.0,7883.04,260.0,0.4561,EB
1,2,3,472.0,4302.48,60.0,0.6585,BB
1,1,1,312.0,1544.4,2.3,0.5697,CB
2,2,14,204.0,2153.46,2.3,0.4953,EB
1,1,2,2376.0,6078.96,60.0,0.4794,EB
2,1,2,51.0,596.83,2.3,0.6761,DB
2,2,3,660.0,2331.36,2.3,0.5078,CB
1,1,1,2.0,14.26,2.3,0.6445,DB
1,1,1,2.0,14.26,2.3,0.6445,DB
1,2,3,154.0,1544.5,2.3,0.6535,CB
1,1,2,180.0,1595.04,2.3,0.6175,CB
2,1,3,604.0,4224.56,60.0,0.5870000000000001,BB
1,1,1,2.0,11.52,2.3,0.1137,FA
1,2,3,840.0,5515.8,60.0,0.6007,AB
1,2,6,408.0,4826.04,60.0,0.5886,BB
1,3,4,102.0,1073.6,2.3,0.6151,DB
1,1,1,504.0,2514.96,2.3,0.5737,BB
1,1,1,1500.0,7635.0,260.0,0.1555,FB
1,1,2,2400.0,5172.0,60.0,0.4657,EB
1,1,3,13.0,2136.98,2.3,0.6829999999999999,CB
1,1,2,3024.0,6300.0,60.0,0.4912,EB
1,1,1,204.0,1905.36,2.3,0.8825,CB
1,1,1,504.0,3442.32,60.0,0.5348,BB
1,1,1,456.0,4332.0,60.0,0.5803,BB
2,2,2,1020.0,5115.0,60.0,0.562,AB
1,1,2,2016.0,4979.52,60.0,0.5319,BB
1,3,6,174.0,1713.48,2.3,0.6922,CB
1,2,2,204.0,1009.2,2.3,0.5948,DB
1,1,1,2.0,20.34,2.3,0.6642,DB
3,3,3,4.0,30.56,2.3,0.6067,DB
2,2,2,4.0,48.7,2.3,0.3988,EA
2,3,5,296.0,3124.32,60.0,0.6255,BA
1,1,2,92.0,685.44,2.3,0.6165,DB
3,3,6,45.0,372.94,2.3,0.3777,EA
1,1,1,360.0,1782.0,2.3,0.5699,CB
1,1,2,270.0,2475.9,2.3,0.5552,CB
4,6,10,840.0,5467.92,60.0,0.5820000000000001,AA
1,3,3,362.0,2153.5,2.3,0.5977,CB
2,3,5,22.0,158.84,2.3,0.001,FA
1,4,5,42.0,1365.36,2.3,0.6683,DB
1,1,1,48.0,264.0,2.3,0.5596,DB
1,1,1,48.0,239.52,2.3,0.5146,DB
1,1,1,36.0,186.48,2.3,0.5751,DB
1,1,2,856.0,4406.16,60.0,0.561,BB
1,1,1,96.0,575.04,2.3,0.6204,DB
